Language,Omega_Mean,Omega_Std,Count,Avg_Length_N,Avg_Distance_d
German,0.475527,0.12158294898744847,1000,21.332,3.3077938
Japanese,0.4722149,0.10759636632357071,1000,28.788,3.7900141
English,0.4587214,0.13075605013415884,1000,21.18,3.3517604000000003
Hindi,0.4512027,0.12495115330969699,1000,23.829,3.5331801
Swedish,0.4480949,0.13839052742898297,1000,19.076,3.217006
French,0.44798140000000003,0.11953770701095717,1000,24.726,3.6137289999999997
Italian,0.4435091,0.11637433924205129,1000,23.732,3.5572198
Chinese,0.4368518,0.14928190608457625,1000,21.415,3.3997437
Portuguese,0.4307084,0.12120805659040332,1000,23.407,3.5676736
Spanish,0.4243103,0.112401970386897,1000,23.284,3.5737856000000003
Galician,0.42386820000000003,0.11949460736765466,1000,23.51,3.5945488
Finnish,0.4221585,0.1923759896378422,1000,15.813,2.995798
Icelandic,0.4182381,0.15182324075985493,1000,18.833,3.2778961
Czech,0.3984553,0.15608728100393443,1000,18.609,3.2857384
Indonesian,0.3938087,0.14758388447681964,1000,19.446,3.3661866
Russian,0.38059,0.1526567811557442,1000,19.355,3.3859128999999997
Polish,0.37899340000000004,0.16482447635119143,1000,18.384,3.3114090999999997
Arabic,0.3519111,0.15583548281599574,1000,20.747,3.5650101
Turkish,0.3262369,0.17378084598372986,1000,16.881,3.2882897
Thai,0.3260707707707708,0.1676820968909381,999,22.34234234234234,3.772534834834835
Korean,0.21385890000000002,0.2077399322235141,1000,16.584,3.5049393
