language,sent_id,N,L,d_real,d_min,d_rand,omega
Arabic,n01001011,41,40,4.3073,1.9512,6.8935,0.5233
Arabic,n01001013,23,22,4.5059,1.913,4.867,0.1222
Arabic,n01002017,36,35,4.3571,1.9444,6.3282,0.4496
Arabic,n01002032,15,14,3.3905,1.8667,3.7932,0.2091
Arabic,n01002042,10,9,2.4444,1.8,2.9668,0.4477
Arabic,n01002058,18,17,3.0327,1.8889,4.2737,0.5204
Arabic,n01003007,12,11,2.8333,1.8333,3.3255,0.3298
Arabic,n01003010,37,36,4.8709,1.9459,6.5923,0.3705
Arabic,n01003012,23,22,3.6522,1.913,4.891,0.416
Arabic,n01003013,12,11,2.9091,1.8333,3.3193,0.2761
Arabic,n01004009,21,20,3.5048,1.9048,4.6318,0.4133
Arabic,n01004017,23,22,4.0079,1.913,4.9457,0.3092
Arabic,n01005023,23,22,3.9368,1.913,4.9315,0.3296
Arabic,n01005024,29,28,4.5862,1.931,5.6233,0.2809
Arabic,n01005031,18,17,3.1961,1.8889,4.2565,0.4479
Arabic,n01006011,15,14,3.0476,1.8667,3.8662,0.4094
Arabic,n01007012,11,10,2.8364,1.8182,3.1225,0.2194
Arabic,n01008017,38,37,4.1764,1.9474,6.7067,0.5317
Arabic,n01009027,17,16,2.6912,1.8824,4.1226,0.639
Arabic,n01009054,25,24,3.86,1.92,5.1342,0.3964
Arabic,n01010042,14,13,2.8681,1.8571,3.6241,0.4278
Arabic,n01011004,13,12,3.1538,1.8462,3.4946,0.2067
Arabic,n01011011,30,29,3.8115,1.9333,5.8209,0.5169
Arabic,n01011017,13,12,2.7692,1.8462,3.4732,0.4327
Arabic,n01012003,13,12,2.7179,1.8462,3.5147,0.4775
Arabic,n01013005,17,16,2.9559,1.8824,4.164,0.5295
Arabic,n01014003,24,23,3.9529,1.9167,5.0811,0.3565
Arabic,n01014012,22,21,4.0909,1.9091,4.8372,0.2549
Arabic,n01015033,17,16,3.0588,1.8824,4.069,0.462
Arabic,n01015036,44,43,4.7135,1.9545,7.171,0.4711
Arabic,n01016014,26,25,4.1508,1.9231,5.2886,0.3381
Arabic,n01016019,15,14,3.4857,1.8667,3.8087,0.1663
Arabic,n01016032,23,22,3.6838,1.913,4.9392,0.4149
Arabic,n01017005,29,28,3.7488,1.931,5.6253,0.508
Arabic,n01017008,30,29,5.2207,1.9333,5.7533,0.1394
Arabic,n01017010,27,26,4.0114,1.9259,5.4559,0.4092
Arabic,n01017013,21,20,3.5524,1.9048,4.6595,0.4019
Arabic,n01018024,7,6,2.0,1.7143,2.3533,0.5529
Arabic,n01018040,11,10,2.8727,1.8182,3.1791,0.2251
Arabic,n01019004,22,21,4.1039,1.9091,4.7749,0.2342
Arabic,n01019005,18,17,3.9216,1.8889,4.2426,0.1364
Arabic,n01020004,9,8,2.2222,1.7778,2.7831,0.5579
Arabic,n01020017,22,21,3.5931,1.9091,4.8098,0.4195
Arabic,n01020021,35,34,4.4941,1.9429,6.2815,0.412
Arabic,n01021007,29,28,4.4729,1.931,5.6674,0.3197
Arabic,n01021011,34,33,4.8681,1.9412,6.1533,0.3051
Arabic,n01021012,13,12,2.7436,1.8462,3.5337,0.4682
Arabic,n01022002,31,30,5.2989,1.9355,5.8171,0.1335
Arabic,n01022005,23,22,4.4664,1.913,4.9052,0.1467
Arabic,n01022010,40,39,4.409,1.95,6.7195,0.4844
Arabic,n01022016,19,18,3.7895,1.8947,4.3853,0.2392
Arabic,n01022027,30,29,4.5609,1.9333,5.7505,0.3116
Arabic,n01023020,11,10,2.8364,1.8182,3.156,0.2389
Arabic,n01023034,26,25,4.6062,1.9231,5.2488,0.1932
Arabic,n01023043,11,10,2.5818,1.8182,3.1582,0.4301
Arabic,n01024010,34,33,4.6542,1.9412,6.1495,0.3553
Arabic,n01024013,45,44,5.198,1.9556,7.2567,0.3883
Arabic,n01024016,16,15,3.9667,1.875,3.9394,-0.0132
Arabic,n01025025,21,20,4.381,1.9048,4.6401,0.0947
Arabic,n01025040,24,23,3.5362,1.9167,5.0921,0.49
Arabic,n01025045,17,16,2.5294,1.8824,4.099,0.7081
